category,name,description,price,badge
Espresso Drinks,Espresso,A single or double shot of our signature dark-roast espresso — bright acidity with a lingering chocolatey finish,3.50,House Favorite
Espresso Drinks,Americano,Two shots of espresso stretched with hot water to reveal the full complexity of the bean,4.00,
Espresso Drinks,Cappuccino,Equal thirds of espresso, steamed milk, and velvety microfoam — classic and uncompromising,4.75,Popular
Espresso Drinks,Flat White,A double ristretto pulled tight over a thin ribbon of silky steamed whole milk,5.00,House Favorite
Espresso Drinks,Cortado,One part espresso cut with one part warm milk to temper the acidity without losing intensity,4.50,
Espresso Drinks,Latte,Two shots of espresso with generous steamed milk and a delicate layer of foam,5.25,Popular
Espresso Drinks,Vanilla Bean Latte,Our classic latte sweetened with real Madagascar vanilla bean syrup,5.75,Popular
Espresso Drinks,Caramel Brûlée Latte,Espresso and steamed milk swirled with house-made caramel sauce and a torched sugar top,6.25,Seasonal
Espresso Drinks,Oat Milk Latte,Double espresso over creamy oat milk — naturally sweet and dairy-free,5.75,Popular
Espresso Drinks,Mocha,Rich espresso blended with Valrhona dark chocolate and steamed milk — topped with cocoa dust,5.75,
Espresso Drinks,Honey Lavender Latte,Espresso with lavender-infused honey syrup and lightly foamed oat milk,6.00,New
Espresso Drinks,Cardamom Rose Macchiato,A layered espresso macchiato with cardamom simple syrup and a touch of rosewater,6.00,House Favorite
Espresso Drinks,Hazelnut Cortado,Our cortado finished with a small pour of house-toasted hazelnut syrup,5.25,
Espresso Drinks,Dirty Chai Latte,A double shot of espresso poured into a spiced masala chai with steamed oat milk,6.50,Popular
Cold Drinks,Cold Brew,Steeped for 18 hours in cold water — smooth, low-acid, and boldly concentrated,5.00,Popular
Cold Drinks,Nitro Cold Brew,Our cold brew infused with nitrogen on tap for a creamy cascading pour with zero added sugar,5.75,House Favorite
Cold Drinks,Iced Latte,Double espresso over ice with cold milk — simple and refreshing,5.25,Popular
Cold Drinks,Iced Vanilla Latte,Iced latte sweetened with real vanilla bean syrup and poured over hand-cracked ice,5.75,
Cold Drinks,Iced Mocha,Espresso and Valrhona chocolate over ice with cold whole milk and a float of cream,6.00,
Cold Drinks,Iced Caramel Latte,Double espresso over ice with cold oat milk and a long drizzle of sea-salt caramel,6.25,Popular
Cold Drinks,Brown Sugar Oat Shaker,Espresso shaken over ice with brown sugar syrup and cinnamon — poured over oat milk,6.50,New
Cold Drinks,Iced Matcha Latte,Ceremonial-grade matcha whisked smooth and poured over cold oat milk and ice,6.00,House Favorite
Cold Drinks,Sparkling Citrus Cold Brew,Cold brew topped with sparkling water and a long twist of orange peel,5.75,Seasonal
Cold Drinks,Hibiscus Lemonade,House-brewed hibiscus tea shaken with fresh lemon juice and a touch of honey,4.75,Popular
Cold Drinks,Strawberry Basil Refresher,Muddled strawberry and fresh basil stirred with sparkling water and a splash of lime,5.50,New
Cold Drinks,Mango Passionfruit Fizz,Tropical mango and passionfruit purée topped with sparkling water and mint,5.50,Seasonal
Loose Leaf Tea,Earl Grey Supreme,Whole-leaf black tea with bergamot oil and a hint of lavender — bright and floral,4.25,House Favorite
Loose Leaf Tea,English Breakfast,A robust full-bodied blend of Assam and Ceylon leaves — made for mornings,4.00,Popular
Loose Leaf Tea,Jasmine Pearl Green,Hand-rolled green tea pearls scented with fresh jasmine blossoms over multiple nights,5.00,House Favorite
Loose Leaf Tea,Peppermint,Pure whole-leaf peppermint grown in the Pacific Northwest — cooling and intensely fresh,4.00,Popular
Loose Leaf Tea,Chamomile Honey,Egyptian chamomile flowers with a golden honey finish — our most calming cup,4.25,
Loose Leaf Tea,Oolong Milk Tea,A creamy Taiwanese-style oolong steeped strong and served with warm milk on the side,5.50,New
Loose Leaf Tea,Rooibos Vanilla Chai,South African rooibos blended with warming chai spices and a whisper of vanilla,4.75,Popular
Loose Leaf Tea,Hibiscus Berry Tisane,Tart hibiscus flowers with dried blueberry and rose hip — vibrant ruby red caffeine-free,4.50,Seasonal
Loose Leaf Tea,Sencha Morning,A grassy Japanese green tea with a clean umami depth — served in a small glass teapot,4.75,
Loose Leaf Tea,Lemon Ginger Turmeric,Invigorating blend of lemon myrtle, ginger root, and turmeric — naturally anti-inflammatory,4.75,New
Loose Leaf Tea,White Peony (Bai Mu Dan),Delicately sweet whole-leaf white tea with a honeysuckle finish — rare and unhurried,6.00,House Favorite
Pastries,Butter Croissant,Laminated with 81 layers of European cultured butter — shatteringly crisp and pull-apart soft,4.00,Popular
Pastries,Almond Croissant,Day-old croissant soaked in orange syrup and filled with frangipane — toasted almond top,4.75,House Favorite
Pastries,Pain au Chocolat,Buttery croissant dough wrapped around two batons of 70% Valrhona dark chocolate,4.50,Popular
Pastries,Kouign-Amann,A Breton pastry of caramelized laminated dough — crackling sugar crust and honeyed interior,5.25,House Favorite
Pastries,Cardamom Morning Bun,Croissant dough rolled with brown sugar, orange zest, and ground cardamom — dusted in sugar,5.00,New
Pastries,Blueberry Lemon Muffin,Loaded with wild Maine blueberries and a bright lemon glaze over a crisp domed top,3.75,Popular
Pastries,Double Chocolate Muffin,Deep dark cocoa batter studded with Valrhona chocolate chips — rich without being sweet,3.75,
Pastries,Classic Cinnamon Roll,Soft-proofed overnight dough with brown sugar filling and a thick cream cheese glaze,5.50,Popular
Pastries,Lemon Poppy Seed Scone,A tender triangular scone with lemon zest throughout and a drizzled lemon icing,3.75,
Pastries,Banana Walnut Bread,Moist one-banana loaf with toasted walnuts and a dark caramel crumb top,3.50,
Pastries,Tahini Chocolate Chip Cookie,A thick chewy cookie with earthy tahini and Guittard chocolate chips — sprinkled with flaked salt,4.25,New
Pastries,Pistachio Rose Financier,A small French almond-butter cake with pistachio paste and a rosewater glaze,4.50,Seasonal
Sandwiches,Smoked Salmon & Cream Cheese Bagel,Everything bagel with house-whipped cream cheese, wild smoked salmon, capers, and thin-sliced red onion,13.50,Popular
Sandwiches,Avocado & Soft Egg Tartine,Thick sourdough toast with smashed avocado, a jammy soft-boiled egg, chili flake, and microgreens,12.00,House Favorite
Sandwiches,Turkey & Brie Pressed,Thinly sliced turkey and triple-crème brie pressed with whole-grain mustard and sliced green apple on levain,13.00,Popular
Sandwiches,Caprese Ciabatta,Fresh mozzarella, ripe heirloom tomato, and fresh basil with a basil pesto and balsamic glaze on ciabatta,11.50,
Sandwiches,Prosciutto & Fig Flatbread,House flatbread with fig jam, thinly sliced prosciutto di Parma, arugula, and shaved Parmigiano,14.00,House Favorite
Sandwiches,Grilled Cheese & Tomato Soup,Three-cheese blend on thick pullman bread griddled in butter — served with a small cup of roasted tomato soup,12.00,Popular
Sandwiches,Roasted Veggie Wrap,Seasonal roasted vegetables with herbed goat cheese, baby spinach, and lemon tahini in a whole wheat wrap,11.00,New
Sandwiches,Egg & Aged Cheddar Croissant,A fluffy folded egg and aged white cheddar tucked into a warm butter croissant with chives,10.50,Popular
Sandwiches,BLT on Sourdough,Thick-cut applewood smoked bacon, heirloom tomato, butter lettuce, and lemon aioli on toasted sourdough,12.50,
Sandwiches,Mushroom & Gruyère Melt,Sautéed wild mushrooms with caramelized onion and melted Gruyère on rye — pressed until golden,12.00,House Favorite
